osmid,y,x,street_count,highway,ref,junction,railway,geometry
901716,53.3510483,-6.3527215,3,traffic_signals,,,,POINT (-6.3527215 53.3510483)
901734,53.3532674,-6.3621475,3,,,,,POINT (-6.3621475 53.3532674)
901763,53.3505249,-6.3560683,3,,,,,POINT (-6.3560683 53.3505249)
901807,53.3487637,-6.3534707,4,traffic_signals,,,,POINT (-6.3534707 53.3487637)
901874,53.3539945,-6.367725,4,,,,,POINT (-6.367725 53.3539945)
901928,53.3544845,-6.3674905,3,,,,,POINT (-6.3674905 53.3544845)
901931,53.3552761,-6.3687958,3,,,,,POINT (-6.3687958 53.3552761)
901935,53.3560894,-6.3705253,3,,,,,POINT (-6.3705253 53.3560894)
901938,53.3564974,-6.3714944,3,,,,,POINT (-6.3714944 53.3564974)
901942,53.3567555,-6.372222,3,,,,,POINT (-6.372222 53.3567555)
901943,53.3569583,-6.373017,3,,,,,POINT (-6.373017 53.3569583)
901944,53.3576583,-6.37598,3,,,,,POINT (-6.37598 53.3576583)
901950,53.3543225,-6.3691174,3,,,,,POINT (-6.3691174 53.3543225)
901953,53.3551152,-6.372288,4,,,,,POINT (-6.372288 53.3551152)
901956,53.3564772,-6.3779417,3,,,,,POINT (-6.3779417 53.3564772)
902180,53.3571352,-6.3855632,3,,,,,POINT (-6.3855632 53.3571352)
902211,53.3551898,-6.3859637,3,,,,,POINT (-6.3859637 53.3551898)
902454,53.3583476,-6.4221,3,,,,,POINT (-6.4221 53.3583476)
1346901,53.3461347,-6.240467,4,,J51,yes,,POINT (-6.240467 53.3461347)
1346905,53.3427487,-6.2411502,4,,J52,yes,,POINT (-6.2411502 53.3427487)
1442736,53.3470058,-6.2587886,4,,,,,POINT (-6.2587886 53.3470058)
1442755,53.346805,-6.2659153,4,traffic_signals,,,,POINT (-6.2659153 53.346805)
1447301,53.3488274,-6.2515101,3,,,,,POINT (-6.2515101 53.3488274)
1447308,53.3451502,-6.2466307,4,,,,,POINT (-6.2466307 53.3451502)
1447316,53.3465838,-6.2462459,3,,,,,POINT (-6.2462459 53.3465838)
1448436,53.3441775,-6.2644509,3,traffic_signals,,,,POINT (-6.2644509 53.3441775)
1448439,53.3430052,-6.2644034,3,,,,,POINT (-6.2644034 53.3430052)
1448442,53.3406939,-6.2656081,4,traffic_signals,,,,POINT (-6.2656081 53.3406939)
1448444,53.3322379,-6.2752072,4,traffic_signals,,yes,,POINT (-6.2752072 53.3322379)
1527993,53.3447998,-6.2439039,4,,,,,POINT (-6.2439039 53.3447998)
1607381,53.3687549,-6.2549984,4,traffic_signals,,,,POINT (-6.2549984 53.3687549)
1607386,53.3810396,-6.2453595,3,,,,,POINT (-6.2453595 53.3810396)
1607389,53.3948945,-6.2407171,3,,,,,POINT (-6.2407171 53.3948945)
1607401,53.4279201,-6.2246919,3,,,,,POINT (-6.2246919 53.4279201)
1607410,53.4279471,-6.2290697,3,,,,,POINT (-6.2290697 53.4279471)
2384179,53.4065597,-6.4303745,3,,,,,POINT (-6.4303745 53.4065597)
2384180,53.4066578,-6.4300375,3,,,,,POINT (-6.4300375 53.4066578)
2384189,53.4036287,-6.4200193,3,,,,,POINT (-6.4200193 53.4036287)
2384190,53.4039407,-6.4177314,3,,,,,POINT (-6.4177314 53.4039407)
2384191,53.4038799,-6.4160447,3,,,,,POINT (-6.4160447 53.4038799)
2384199,53.4041447,-6.4200221,3,,,,,POINT (-6.4200221 53.4041447)
2384200,53.4038924,-6.4196145,3,,,,,POINT (-6.4196145 53.4038924)
2384228,53.4068368,-6.4182094,3,,,,,POINT (-6.4182094 53.4068368)
2384254,53.3862626,-6.410146,3,,,,,POINT (-6.410146 53.3862626)
2384261,53.3833799,-6.4151066,3,,,,,POINT (-6.4151066 53.3833799)
2384262,53.3836434,-6.4217002,3,,,,,POINT (-6.4217002 53.3836434)
2384268,53.3854461,-6.4024896,3,,,,,POINT (-6.4024896 53.3854461)
2384271,53.3856986,-6.4020275,3,,,,,POINT (-6.4020275 53.3856986)
2384285,53.3889546,-6.3882603,3,,,,,POINT (-6.3882603 53.3889546)
2384386,53.3866034,-6.4145133,3,,,,,POINT (-6.4145133 53.3866034)
2384395,53.3990603,-6.4417981,3,,,,,POINT (-6.4417981 53.3990603)
2384401,53.4120768,-6.424838,3,,,,,POINT (-6.424838 53.4120768)
2384405,53.4073279,-6.3995641,3,,,,,POINT (-6.3995641 53.4073279)
2384406,53.4062698,-6.3957866,3,,,,,POINT (-6.3957866 53.4062698)
2384407,53.405682,-6.3939787,3,,,,,POINT (-6.3939787 53.405682)
2384408,53.4072268,-6.3991915,3,,,,,POINT (-6.3991915 53.4072268)
